"Comment","Designator","Footprint","LCSC Part #"
"1nF","C1","C_0805_2012Metric","C46653"
"RED","D1","LED_0805_2012Metric","C84256"
"SS14","D2","D_SMA","C2480"
"1n4148","D3,D4,D19,D33,D49,D51,D65,D66,D5,D6,D20,D21,D36,D37,D52,D53,D7,D8,D23,D24,D38,D39,D54,D55,D9,D10,D25,D26,D40,D41,D56,D57,D11,D12,D27,D28,D42,D43,D58,D59,D13,D14,D29,D30,D44,D45,D60,D61,D15,D16,D31,D46,D47,D62,D18,D64,D67,D68,D71,D69,D70,D32,D35,D22","D_SOD-323F","C2128"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"AO3407","Q1","SOT-23","C181093"
"1K","R1","R_0603_1608Metric","C21190"
"10K","R2","R_0603_1608Metric","C25804"
"100k","R3","R_0603_1608Metric","C25803"
"5.1K","R4,R5","R_0603_1608Metric","C23186"
"1M","R6","R_0603_1608Metric","C22935"
"2M","R7","R_0603_1608Metric","C22766"
"SW_Push","Reset1","SW_SPST_SKQG_WithStem","C202424"
"TP4054","U1","SOT-23-5","C32574"
"XC6220B331MR-G","U2","SOT-23-5","C86534"
"SRV05-4","U4","SOT-23-6","C85364"
