Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_0805_2012Metric,148.220000,-93.770000,0.000000,bottom
D1,RED,LED_0805_2012Metric,147.574000,-97.028000,90.000000,bottom
D2,SS14,D_SMA,136.144000,-96.520000,90.000000,bottom
D3,1n4148,D_SOD-323F,30.861000,-33.655000,90.000000,bottom
D4,1n4148,D_SOD-323F,55.650000,-33.655000,90.000000,bottom
D5,1n4148,D_SOD-323F,58.175000,-33.655000,90.000000,bottom
D6,1n4148,D_SOD-323F,93.775000,-33.650000,90.000000,bottom
D7,1n4148,D_SOD-323F,96.275000,-33.650000,90.000000,bottom
D8,1n4148,D_SOD-323F,131.800000,-33.650000,90.000000,bottom
D9,1n4148,D_SOD-323F,134.375000,-33.650000,90.000000,bottom
D10,1n4148,D_SOD-323F,169.925000,-33.650000,90.000000,bottom
D11,1n4148,D_SOD-323F,172.475000,-33.650000,90.000000,bottom
D12,1n4148,D_SOD-323F,208.025000,-33.655000,90.000000,bottom
D13,1n4148,D_SOD-323F,210.525000,-33.655000,90.000000,bottom
D14,1n4148,D_SOD-323F,246.125000,-33.655000,90.000000,bottom
D15,1n4148,D_SOD-323F,248.700000,-33.650000,90.000000,bottom
D16,1n4148,D_SOD-323F,284.200000,-33.650000,90.000000,bottom
D18,1n4148,D_SOD-323F,286.850000,-33.655000,90.000000,bottom
D19,1n4148,D_SOD-323F,32.490000,-39.090000,270.000000,bottom
D20,1n4148,D_SOD-323F,65.150000,-37.075000,270.000000,bottom
D21,1n4148,D_SOD-323F,67.875000,-37.100000,270.000000,bottom
D22,1n4148,D_SOD-323F,103.275000,-37.075000,270.000000,bottom
D23,1n4148,D_SOD-323F,106.025000,-37.080000,270.000000,bottom
D24,1n4148,D_SOD-323F,141.275000,-37.100000,270.000000,bottom
D25,1n4148,D_SOD-323F,144.050000,-37.100000,270.000000,bottom
D26,1n4148,D_SOD-323F,179.400000,-37.100000,270.000000,bottom
D27,1n4148,D_SOD-323F,182.175000,-37.125000,270.000000,bottom
D28,1n4148,D_SOD-323F,217.400000,-37.100000,270.000000,bottom
D29,1n4148,D_SOD-323F,220.425000,-37.100000,270.000000,bottom
D30,1n4148,D_SOD-323F,255.450000,-37.080000,270.000000,bottom
D31,1n4148,D_SOD-323F,258.475000,-37.080000,270.000000,bottom
D32,1n4148,D_SOD-323F,285.400000,-37.600000,0.000000,bottom
D33,1n4148,D_SOD-323F,38.025000,-71.450000,90.000000,bottom
D35,1n4148,D_SOD-323F,70.000000,-71.350000,90.000000,bottom
D36,1n4148,D_SOD-323F,72.375000,-71.350000,90.000000,bottom
D37,1n4148,D_SOD-323F,107.950000,-71.350000,90.000000,bottom
D38,1n4148,D_SOD-323F,110.525000,-71.350000,90.000000,bottom
D39,1n4148,D_SOD-323F,129.525000,-71.350000,90.000000,bottom
D40,1n4148,D_SOD-323F,165.150000,-71.375000,90.000000,bottom
D41,1n4148,D_SOD-323F,167.650000,-71.375000,90.000000,bottom
D42,1n4148,D_SOD-323F,203.175000,-71.375000,90.000000,bottom
D43,1n4148,D_SOD-323F,205.775000,-71.375000,90.000000,bottom
D44,1n4148,D_SOD-323F,241.300000,-71.375000,90.000000,bottom
D45,1n4148,D_SOD-323F,243.850000,-71.375000,90.000000,bottom
D46,1n4148,D_SOD-323F,260.250000,-71.375000,90.000000,bottom
D47,1n4148,D_SOD-323F,293.370000,-67.183000,90.000000,bottom
D49,1n4148,D_SOD-323F,44.370000,-75.225000,270.000000,bottom
D51,1n4148,D_SOD-323F,47.025000,-75.200000,270.000000,bottom
D52,1n4148,D_SOD-323F,79.248000,-75.200000,270.000000,bottom
D53,1n4148,D_SOD-323F,82.042000,-75.200000,270.000000,bottom
D54,1n4148,D_SOD-323F,117.500000,-75.200000,270.000000,bottom
D55,1n4148,D_SOD-323F,119.975000,-75.200000,270.000000,bottom
D56,1n4148,D_SOD-323F,155.575000,-75.200000,270.000000,bottom
D57,1n4148,D_SOD-323F,158.100000,-75.200000,270.000000,bottom
